"pattern_ref","accepted_pattern_ref","job_external_ref","employee_sample_ref","pattern_title","job_family","core_skills","preferred_skills","target_experience_years","language_benchmark","education_benchmark","certifications","github_expected","portfolio_expected","project_experience_benchmark","evidence_summary","active"
"PAT-JOBUSATLASBE001-CORE","ACP-JOBUSATLASBE001-01","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-01","Atlas Cloud Backend core job-fit pattern","Backend","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","cloud platform APIs|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Atlas Cloud Backend Software Engineer.","true"
"PAT-JOBUSATLASBE001-PORTFOLIO","ACP-JOBUSATLASBE001-02","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-02","Atlas Cloud Backend portfolio evidence pattern","Backend","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","cloud platform APIs|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Atlas Cloud Backend Software Engineer.","true"
"PAT-JOBUSATLASBE001-BRIDGE","ACP-JOBUSATLASBE001-03","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-03","Atlas Cloud Backend bridge candidate pattern","Backend","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","cloud platform APIs|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Atlas Cloud Backend Software Engineer.","true"
"PAT-JOBUSPACIFICBE001-CORE","ACP-JOBUSPACIFICBE001-01","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-01","Pacific Ads Backend core job-fit pattern","Backend","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","ad event ingestion|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Pacific Ads Software Development Engineer.","true"
"PAT-JOBUSPACIFICBE001-PORTFOLIO","ACP-JOBUSPACIFICBE001-02","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-02","Pacific Ads Backend portfolio evidence pattern","Backend","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","ad event ingestion|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Pacific Ads Software Development Engineer.","true"
"PAT-JOBUSPACIFICBE001-BRIDGE","ACP-JOBUSPACIFICBE001-03","JOB-US-PACIFIC-BE-001","EMP-JOBUSPACIFICBE001-03","Pacific Ads Backend bridge candidate pattern","Backend","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","ad event ingestion|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Pacific Ads Software Development Engineer.","true"
"PAT-JOBUSREDWOODBE001-CORE","ACP-JOBUSREDWOODBE001-01","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-01","Redwood FinTech Backend core job-fit pattern","Backend","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","4","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","payment service reliability|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Redwood FinTech Platform Backend Engineer.","true"
"PAT-JOBUSREDWOODBE001-PORTFOLIO","ACP-JOBUSREDWOODBE001-02","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-02","Redwood FinTech Backend portfolio evidence pattern","Backend","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","5","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","payment service reliability|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Redwood FinTech Platform Backend Engineer.","true"
"PAT-JOBUSREDWOODBE001-BRIDGE","ACP-JOBUSREDWOODBE001-03","JOB-US-REDWOOD-BE-001","EMP-JOBUSREDWOODBE001-03","Redwood FinTech Backend bridge candidate pattern","Backend","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","3","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","false","payment service reliability|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Redwood FinTech Platform Backend Engineer.","true"
"PAT-JOBUSNORTHSTARBE001-CORE","ACP-JOBUSNORTHSTARBE001-01","JOB-US-NORTHSTAR-BE-001","EMP-JOBUSNORTHSTARBE001-01","Northstar Security Backend core job-fit pattern","Backend","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","2","BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","true","true","security automation backend|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Northstar Security Cloud Backend Engineer.","true"
