"accepted_pattern_ref","job_external_ref","employee_sample_refs","pattern_title","job_family","modeled_experience_years","modeled_languages","modeled_education","modeled_certifications","modeled_core_skills","modeled_preferred_skills","modeled_portfolio_assets","modeled_project_keywords","derivation_reason","source_confidence","review_status"
"ACP-JOBUSATLASBE001-01","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-01|EMP-JOBUSATLASBE001-02","Atlas Cloud Backend accepted candidate model 1","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub|Portfolio","cloud platform APIs|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-02","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-02|EMP-JOBUSATLASBE001-03","Atlas Cloud Backend accepted candidate model 2","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","cloud platform APIs|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-03","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-03|EMP-JOBUSATLASBE001-04","Atlas Cloud Backend accepted candidate model 3","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","cloud platform APIs|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSATLASBE001-04","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-04|EMP-JOBUSATLASBE001-05","Atlas Cloud Backend accepted candidate model 4","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub","cloud platform APIs|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-05","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-05|EMP-JOBUSATLASBE001-01","Atlas Cloud Backend accepted candidate model 5","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub|Portfolio","cloud platform APIs|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-06","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-01|EMP-JOBUSATLASBE001-02","Atlas Cloud Backend accepted candidate model 6","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","cloud platform APIs|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSATLASBE001-07","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-02|EMP-JOBUSATLASBE001-03","Atlas Cloud Backend accepted candidate model 7","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","cloud platform APIs|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-08","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-03|EMP-JOBUSATLASBE001-04","Atlas Cloud Backend accepted candidate model 8","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub","cloud platform APIs|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSATLASBE001-09","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-04|EMP-JOBUSATLASBE001-05","Atlas Cloud Backend accepted candidate model 9","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub|Portfolio","cloud platform APIs|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSATLASBE001-10","JOB-US-ATLAS-BE-001","EMP-JOBUSATLASBE001-05|EMP-JOBUSATLASBE001-01","Atlas Cloud Backend accepted candidate model 10","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","cloud platform APIs|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
