"sample_ref","source_type","source_name","source_url","anonymized_label","current_company","current_job_title","matched_job_family","current_country","current_city","education","major","graduation_status","total_experience_years","related_experience_years","career_history","tech_stack","domain_experience","certifications","languages","github_present","portfolio_present","project_experience_notes","raw_notes","public_safe"
"EMP-JOBUSATLASBE001-01","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 1","Atlas Cloud","Cloud Backend Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Atlas Cloud Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","cloud platform APIs","Not specified","English","true","false","Dummy anonymized sample with experience in cloud platform APIs, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-02","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 2","Atlas Cloud","Software Development Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Atlas Cloud Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","cloud platform APIs","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in cloud platform APIs, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-03","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 3","Atlas Cloud","Backend Software Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Atlas Cloud Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","cloud platform APIs","Not specified","English","true","false","Dummy anonymized sample with experience in cloud platform APIs, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-04","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 4","Atlas Cloud","Platform Backend Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Atlas Cloud Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","cloud platform APIs","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in cloud platform APIs, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSATLASBE001-05","dummy_seed","careerlens_generated","","Atlas Cloud Backend employee sample 5","Atlas Cloud","Cloud Backend Engineer","Backend","United States","Seattle WA","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Atlas Cloud Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","cloud platform APIs","Not specified","English","false","false","Dummy anonymized sample with experience in cloud platform APIs, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-01","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 1","Pacific Ads","Software Development Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Pacific Ads Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","ad event ingestion","Not specified","English","true","false","Dummy anonymized sample with experience in ad event ingestion, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-02","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 2","Pacific Ads","Backend Software Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Pacific Ads Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","ad event ingestion","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in ad event ingestion, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-03","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 3","Pacific Ads","Platform Backend Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Pacific Ads Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","ad event ingestion","Not specified","English","true","false","Dummy anonymized sample with experience in ad event ingestion, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-04","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 4","Pacific Ads","Cloud Backend Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Pacific Ads Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","ad event ingestion","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in ad event ingestion, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSPACIFICBE001-05","dummy_seed","careerlens_generated","","Pacific Ads Backend employee sample 5","Pacific Ads","Software Development Engineer","Backend","United States","Austin TX","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Pacific Ads Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","ad event ingestion","Not specified","English","false","false","Dummy anonymized sample with experience in ad event ingestion, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
